ห้าง,Mall (casual)
ห้างสรรพสินค้า,Mall (formal)
โรงหนัง,Movie theater (casual)
โรงภาพยนตร์,Movie theater (formal)
โรงพยาบาล,Hospital 
โรงเรียน,School
โรงแรม,Hotel
ร้านค้า,Retail store
ร้านอาหาร,Food store
ภัตตาคาร,Restaurant 
บ้าน,Home 
ห้องสมุด,Library 
โรงพัก,Police station (casual)
สถานีตำรวจ,Police station (formal)
สถานีดับเพลิง,Fire station 
ร้าน,Store
ร้านซักรีด,Laundromat 
สะพาน,Bridge
วัง,Palace
สวนสัตว์,Zoo
สวนสาธารณะ,Park
ฟิตเนส,"Fitness center, gym"
ที่จอดรถ,Parking
สวนสนุก,Amusement park 
ทะเล,Sea
วัด,Temple
ตลาด,Market
สถานีรถไฟ,Train station
ป้ายรถเมล์,Bus stop
ร้านกาแฟ,"Coffee shop, cafe"
หอศิลป์,Gallery 
หอ,Dorm
สนามบิน,Airport 
ท่าเรือ,Pier
อุทยาน,National Park 
พิพิธภัณฑ์,Museum
โบสถ์,Church
ธนาคาร,Bank
ร้านตัดผม,Barber
สปา,Spa
ร้านนวด,Massage parlor 
ร้านทำผม,Salon
ร้านทำเล็บ,Nail salon
ร้านขนม,Bakery
ตลาดน้ำ,Floating market
รถไฟใต้ดิน,"Subway, underground train "