ต้ม,to boil
นึ่ง,steam
ผัด,to stir-fry
ปิ้ง,toast
ย่าง,grill
ผัก,vegetable
ต้นหอม,green onion
กระเทียม,garlic
ถั่วลิสง,peanut
กะหล่ำปลี,cabbage
พริกหยวก,bell pepper
ผักโขม,spinach
องุ่น,grape
มะเฟือง,star fruit
ถั่วงอก,bean sprout
ถั่วเขียว,Green bean
อ้อย,sugar cane
ข้าวโพด,corn
ขม,bitter
มัน,fatty
หมู,pig
ไก่,chicken
ไข่,egg
กุ้ง,prawn/shrimp
ทอด,to fry
น้ำส้ม,orange juice
แตงกวา,cucumber
ผักกาด,lettuce
หัวหอม,onion
มะเขือ,eggplant
ถั่ว,bean
มะละกอ,papaya
ทุเรียน,durian
แตงโม,watermelon
เงาะ,rambutan
ทับทิม,pomegranate
หน่อไม้,bamboo shoot
สะตอ,stink bean
ฟักทอง,pumpkin
ฟัก,gourd; squash Cucurbita
มังคุด,mangosteen
มะนาว,lime
เห็ด,mushroom
ดอกกะหล่ำ,cauliflower
มะม่วง,mango
มันฝรั่ง,potato
ข้าว,rice
ไม่,"no, not"
เป็ด,duck
ร้อน,hot
น้ำอัดลม,soda
ชา,tea
ไส้กรอก,sausage
หวาน,sweet
เปรี้ยว,sour
เผ็ด,spicy
ก๋วยเตี๋ยว,noodles
ขนุน,jackfruit
จิ้ม,"Poke, dip"
ส้อม,fork
ปู,crab
ปลา,fish
น้ำปลา,fish sauce
ผลไม้,fruit
มะเขือเทศ,tomato
ขิง,ginger
พริก,Chili
พริกขี้หนู,Bird eye pepper
แครอท,carrot
กล้วย,banana
มะพร้าว,coconut
สาลี่,chinese pear
ฝรั่ง,guava
ลิ้นจี่,lychee
ขนุน,jackfruit
กิน,to eat
อิ่ม,full
กาแฟ,coffee
ขนมปัง,bread
เค็ม,salty
ผัด,to stir-fry
ต้ม,to boil
ข้าวเหนียว,sticky rice